idp;a;veget5
518798 ;2;M
518798 ;4;M
518798 ;5;M
518798 ;13;M
518798 ;14;M
518798 ;17;M
518798 ;19;M
518815 ;3;M
518825 ;12;M
518825 ;15;M
518831 ;3;M
518831 ;9;M
518831 ;11;M
518831 ;14;M
518831 ;20;M
518831 ;23;M
518831 ;28;M
518831 ;29;M
518831 ;35;M
518836 ;16;6
518848 ;4;M
518848 ;5;M
518860 ;6;M
518860 ;10;M
518881 ;8;M
518881 ;11;M
518886 ;5;N
518905 ;7;M
518917 ;8;M
518996 ;7;M
519001 ;1;A
519001 ;2;A
519001 ;5;M
519001 ;6;A
519001 ;9;A
519001 ;11;A
519026 ;2;M
519026 ;15;M
519192 ;1;M
519192 ;7;M
519238 ;11;A
519239 ;19;M
519254 ;8;N
519266 ;6;M
519283 ;9;M
519283 ;10;M
519283 ;11;M
519297 ;2;M
519297 ;8;M
519396 ;5;M
519404 ;14;M
519404 ;18;M
519427 ;8;M
519427 ;17;A
519490 ;8;M
519513 ;15;M
519513 ;27;M
519529 ;3;6
519529 ;10;6
519529 ;11;6
519529 ;12;6
519529 ;14;6
519529 ;16;6
519529 ;17;6
519531 ;3;M
519531 ;6;M
519531 ;12;M
519582 ;4;M
519646 ;1;N
519646 ;3;N
519646 ;10;N
519646 ;11;N
519646 ;14;N
519662 ;7;M
519690 ;1;M
519690 ;3;M
519690 ;4;M
519690 ;5;M
519690 ;6;M
519701 ;3;M
519701 ;8;M
519701 ;11;M
519729 ;6;M
519772 ;1;M
519772 ;4;6
519777 ;3;M
519777 ;4;M
519785 ;1;M
519785 ;4;M
519793 ;1;M
519793 ;2;M
519793 ;3;M
519845 ;17;M
519845 ;18;M
519941 ;6;N
519941 ;7;A
519950 ;1;6
519963 ;2;M
519963 ;7;M
519963 ;9;M
519963 ;13;M
519980 ;3;M
519980 ;12;M
519989 ;5;M
519989 ;6;A
519989 ;8;M
519989 ;9;M
519989 ;10;M
519989 ;13;M
519989 ;14;M
519989 ;16;M
519989 ;17;M
519989 ;19;M
519989 ;20;M
519989 ;21;M
520030 ;5;M
520030 ;7;M
520030 ;11;M
520030 ;12;M
520067 ;3;6
520067 ;4;6
520067 ;5;6
520067 ;7;6
520067 ;8;6
520067 ;9;6
520067 ;10;6
520097 ;1;N
520097 ;2;M
520097 ;7;M
520130 ;10;M
520130 ;15;M
520147 ;3;M
520147 ;20;M
520198 ;3;M
520198 ;8;A
520198 ;11;N
520198 ;12;M
520198 ;20;M
520242 ;2;M
520263 ;7;M
520263 ;8;M
520268 ;2;N
520275 ;11;M
520275 ;15;M
520289 ;1;N
520407 ;4;M
520452 ;8;M
520454 ;7;6
520454 ;12;6
520454 ;15;6
520467 ;12;M
520511 ;13;M
520512 ;4;M
520512 ;7;M
520512 ;8;M
520512 ;22;M
520562 ;5;M
520562 ;6;M
520562 ;7;M
520562 ;9;M
520607 ;3;M
520607 ;14;M
520630 ;9;M
520646 ;9;M
520651 ;6;6
520651 ;8;6
520672 ;8;6
520725 ;24;M
520725 ;34;N
520764 ;4;N
520768 ;8;6
520768 ;14;6
520852 ;1;M
520852 ;2;M
520852 ;3;M
520852 ;4;M
520852 ;5;M
520852 ;7;M
520879 ;26;M
520879 ;27;M
520879 ;32;M
520879 ;33;M
520879 ;35;M
520904 ;11;M
520948 ;3;M
520948 ;5;M
520948 ;6;M
520948 ;8;M
520948 ;9;M
520948 ;11;M
520948 ;12;M
520948 ;13;M
520948 ;14;M
520998 ;3;M
520998 ;16;M
521040 ;12;N
521062 ;1;M
521062 ;3;M
521062 ;5;M
521062 ;6;M
521062 ;7;M
521062 ;10;M
521113 ;2;N
521113 ;5;M
521187 ;12;M
521188 ;15;M
521188 ;16;M
521234 ;10;M
521234 ;15;M
521248 ;14;M
521303 ;15;M
521303 ;26;M
521404 ;4;A
521404 ;6;6
521404 ;7;6
521413 ;1;M
521431 ;6;M
521455 ;3;M
521455 ;5;M
521500 ;6;M
521529 ;1;M
521529 ;8;M
521529 ;12;M
521529 ;14;M
521529 ;18;M
521529 ;25;M
521563 ;9;M
521655 ;4;M
521655 ;11;M
521683 ;10;M
521683 ;14;M
521772 ;4;M
521772 ;8;M
521772 ;9;M
521772 ;14;M
521772 ;15;M
521877 ;8;M
521891 ;11;M
521898 ;1;N
521898 ;5;M
521898 ;8;M
521909 ;1;M
521909 ;3;M
521909 ;7;M
521909 ;9;M
521909 ;13;M
521909 ;15;M
521909 ;22;M
521909 ;25;M
521909 ;36;M
521943 ;2;A
521959 ;14;M
522002 ;10;M
522002 ;26;M
522026 ;19;M
522098 ;4;M
522131 ;4;M
522131 ;7;M
522218 ;11;M
